year,tag_code,trap_date,sex,dna
2019,3DD.003D2B7500,2019-09-23T00:00:00Z,MA,1146
2019,3DD.003D2B7500,2019-09-25T00:00:00Z,MA,1209
2019,3DD.003D2B8262,2019-09-30T00:00:00Z,FE,348
2019,3DD.003D2B8262,2019-10-01T00:00:00Z,FE,619
2019,3DD.003D2B865F,2019-09-27T00:00:00Z,FE,1431
2019,3DD.003D2B865F,2019-09-30T00:00:00Z,MA,389
2020,3DD.003BD8E86D,2020-10-19T00:00:00Z,MA,2064
2020,3DD.003BD8E86D,2020-10-20T00:00:00Z,MA,2121
2020,3DD.003D2B629A,2020-09-23T00:00:00Z,FE,867
2020,3DD.003D2B629A,2020-09-24T00:00:00Z,FE,1059
2020,3DD.003D2B66F8,2020-09-18T00:00:00Z,FE,635
2020,3DD.003D2B66F8,2020-09-21T00:00:00Z,FE,653
2020,3DD.003D2B68EA,2020-09-30T00:00:00Z,MA,1527
2020,3DD.003D2B68EA,2020-09-30T00:00:00Z,FE,1529
2020,3DD.003D2B6A75,2020-09-24T00:00:00Z,FE,1183
2020,3DD.003D2B6A75,2020-09-28T00:00:00Z,JA,1209
2020,3DD.003D2B73FB,2020-09-30T00:00:00Z,MA,1474
2020,3DD.003D2B73FB,2020-09-30T00:00:00Z,MA,1514
2020,3DD.003D2B7400,2020-09-30T00:00:00Z,MA,1497
2020,3DD.003D2B7400,2020-09-30T00:00:00Z,FE,1515
2020,3DD.003D2B7410,2020-09-30T00:00:00Z,MA,1460
2020,3DD.003D2B7410,2020-09-30T00:00:00Z,MA,1511
2020,3DD.00777CAA82,2020-10-19T00:00:00Z,FE,2052
2020,3DD.00777CAA82,2020-10-20T00:00:00Z,FE,2135
