year,dna,tag_code
2019,1101,3DD.003D2B74D6
2019,1101,3DD.003D2B7CAC
2019,1102,3DD.003D2B750B
2019,1102,3DD.003D2B7CDE
2019,1103,3DD.003B2B74F5
2019,1103,3DD.0077B0BD86
2019,1104,3DD.003D2B74E6
2019,1104,3DD.003D2B7CAF
2019,1105,3DD.003D2B74B7
2019,1105,3DD.003D2B7CBE
2019,1106,3DD.003D2B74BB
2019,1106,3DD.003D2B7CE1
2019,1107,3DD.003D2B7509
2019,1107,3DD.003D2B7C95
2019,1108,3DD.003D2B74CC
2019,1108,3DD.003D2B7CE6
2019,1109,3DD.003D2B74EB
2019,1109,3DD.003D2B7CC7
2019,1110,3DD.003D2B74C5
2019,1110,3DD.003D2B7C88
2019,1111,3DD.003D2B74FA
2019,1111,3DD.003D2B7C87
2019,1112,3DD.003D2B750A
2019,1112,3DD.003D2B7CA5
2019,1113,3DD.003D2B74BF
2019,1113,3DD.003D2B7CA1
2019,1114,3DD.003D2B74CF
2019,1114,3DD.003D2B7CB3
2019,1115,3DD.003D2B74B9
2019,1115,3DD.003D2B7CC8
2019,1116,3DD.003D2B74DF
2019,1116,3DD.003D2B7C96
2019,1117,3DD.003D2B74E7
2019,1117,3DD.003D2B7D42
2019,1118,3DD.003D2B74BC
2019,1118,3DD.003D2B7D39
2019,1119,3DD.003D2B74E5
2019,1119,3DD.003D2B7D2D
2019,1120,3DD.003D2B74B5
2019,1120,3DD.003D2B7D3E
2019,1121,3DD.003D2B7508
2019,1121,3DD.003D2B7D0D
2019,1122,3DD.003D2B74F0
2019,1122,3DD.003D2B7D0C
2019,1123,3DD.003D2B74C3
2019,1123,3DD.003D2B7D45
2019,1124,3DD.003D2B74E2
2019,1124,3DD.003D2B7D05
2019,1125,3DD.003D2B74C7
2019,1125,3DD.003D2B7D28
2019,1126,3DD.003D2B74F6
2019,1126,3DD.003D2B7CF8
2019,1127,3DD.003D2B750E
2019,1127,3DD.003D2B7D1C
2019,1128,3DD.003D2B750C
2019,1128,3DD.003D2B7CFC
2019,1129,3DD.003D2B74B3
2019,1129,3DD.003D2B7D33
2019,1130,3DD.003D2B74B2
2019,1130,3DD.003D2B7D26
2019,1131,3DD.003D2B7504
2019,1131,3DD.003D2B7D17
2019,1132,3DD.003D2B7D3F
2019,1132,3DD.0077B07DF6
2019,1133,3DD.003D2B7502
2019,1133,3DD.003D2B7CF6
2019,1134,3DD.003D2B74F1
2019,1134,3DD.003D2B7CEB
2019,1135,3DD.003D2B74D8
2019,1135,3DD.003D2B7D4A
2019,1136,3DD.003D2B74C2
2019,1136,3DD.003D2B7D40
2019,1137,3DD.003D2B74CB
2019,1137,3DD.003D2B7D49
2019,1138,3DD.003D2B74B8
2019,1138,3DD.003D2B7D1B
2019,1139,3DD.003D2B74DE
2019,1139,3DD.003D2B7D1F
2019,1140,3DD.003D2B74CD
2019,1140,3DD.003D2B7D00
2019,1141,3DD.003D2B74AF
2019,1141,3DD.003D2B7CEA
2019,1142,3DD.003D2B74D0
2019,1142,3DD.003D2B7D0B
